"","newstitle"
"1","‘선거법 위반’ 제주도 공보관·비서관 ‘직’ 상실 위기"
"2","“100억원 한짓골 사업 대신, 소담한 '문화곳간' 어때?"""
"3","다시 그리고 함께 JDC"
"4","개별공시지가 현장상담 … 하향 조정요구 ‘봇물’"
"5","애월 무수천사거리서 9중 추돌 사고...11명 경상"
"6","국가인권위원회 제주출장소 신설 가시화"
"7","제2공항 기본계획 도민공청회, 파행 끝에 40여분만에 종료"
"8","종교적 이유 병역거부 ‘여호와증인’ 신도 항소심서 무죄"
"9","“자체 여론조사 앞선다” 선거법 위반 양영식 도의원 ‘무죄’"
"10","""제주 메밀로 하는 11개 체험 해볼까?"""
"11","""어제와 오늘 잇는 민속자연사박물관, 변신 시작합니다!"""
"12","예루살렘 <U+2013> Nothing or Everything 3편"
"13","제주 제2공항 전략환경영향평가, 소음피해 확대 여부 ‘주목’"
"14","제주 대표 어종 광어, 생산금액 곤두박질"
"15","제주 올 여름 태풍 1~3개 영향…7월 강수 많을 듯"
"16","“전략환경영향평가 참여하지도 않은 시민단체를 왜?”"
"17","2019 가족문화축제 “26일 탑동해변공장에서 만나요”"
"18","통계청, 2019년 1차 초중고 사교육비 실태 조사"
"19","제주도내 공익사업 감정평가 업체 선정 ‘윤번제’로"
"20","제주 산지·북부 건조주의보…산불 등 화재 주의 필요"
"21","‘선거법 위반’ 제주도 공보관·비서관 ‘직’ 상실 위기"
"22","“100억원 한짓골 사업 대신, 소담한 '문화곳간' 어때?"""
"23","다시 그리고 함께 JDC"
"24","개별공시지가 현장상담 … 하향 조정요구 ‘봇물’"
"25","애월 무수천사거리서 9중 추돌 사고...11명 경상"
"26","국가인권위원회 제주출장소 신설 가시화"
"27","제2공항 기본계획 도민공청회, 파행 끝에 40여분만에 종료"
"28","종교적 이유 병역거부 ‘여호와증인’ 신도 항소심서 무죄"
"29","“자체 여론조사 앞선다” 선거법 위반 양영식 도의원 ‘무죄’"
"30","""제주 메밀로 하는 11개 체험 해볼까?"""
"31","""어제와 오늘 잇는 민속자연사박물관, 변신 시작합니다!"""
"32","예루살렘 <U+2013> Nothing or Everything 3편"
"33","제주 제2공항 전략환경영향평가, 소음피해 확대 여부 ‘주목’"
"34","제주 대표 어종 광어, 생산금액 곤두박질"
"35","제주 올 여름 태풍 1~3개 영향…7월 강수 많을 듯"
"36","“전략환경영향평가 참여하지도 않은 시민단체를 왜?”"
"37","2019 가족문화축제 “26일 탑동해변공장에서 만나요”"
"38","통계청, 2019년 1차 초중고 사교육비 실태 조사"
"39","제주도내 공익사업 감정평가 업체 선정 ‘윤번제’로"
"40","제주 산지·북부 건조주의보…산불 등 화재 주의 필요"
"41","‘선거법 위반’ 제주도 공보관·비서관 ‘직’ 상실 위기"
"42","“100억원 한짓골 사업 대신, 소담한 '문화곳간' 어때?"""
"43","다시 그리고 함께 JDC"
"44","개별공시지가 현장상담 … 하향 조정요구 ‘봇물’"
"45","애월 무수천사거리서 9중 추돌 사고...11명 경상"
"46","국가인권위원회 제주출장소 신설 가시화"
"47","제2공항 기본계획 도민공청회, 파행 끝에 40여분만에 종료"
"48","종교적 이유 병역거부 ‘여호와증인’ 신도 항소심서 무죄"
"49","“자체 여론조사 앞선다” 선거법 위반 양영식 도의원 ‘무죄’"
